,datetime,vlinder_temp
8,2023-03-03 00:00:00,2.3
9,2023-03-03 06:00:00,0.0
10,2023-03-03 12:00:00,2.7
11,2023-03-03 18:00:00,5.6
12,2023-03-04 00:00:00,4.9
13,2023-03-04 06:00:00,4.9
14,2023-03-04 12:00:00,6.2
15,2023-03-04 18:00:00,6.9
16,2023-03-05 00:00:00,4.9
17,2023-03-05 06:00:00,3.7
18,2023-03-05 12:00:00,5.2
19,2023-03-05 18:00:00,3.8
20,2023-03-06 00:00:00,3.1
21,2023-03-06 06:00:00,2.3
22,2023-03-06 12:00:00,6.1
23,2023-03-06 18:00:00,6.0
24,2023-03-07 00:00:00,4.4
25,2023-03-07 06:00:00,4.3
26,2023-03-07 12:00:00,4.5
27,2023-03-07 18:00:00,2.6
28,2023-03-08 00:00:00,1.7
29,2023-03-08 06:00:00,0.3
30,2023-03-08 12:00:00,1.7
31,2023-03-08 18:00:00,2.5
32,2023-03-09 00:00:00,2.8
33,2023-03-09 06:00:00,2.7
34,2023-03-09 12:00:00,9.1
35,2023-03-09 18:00:00,10.8
36,2023-03-10 00:00:00,9.8
37,2023-03-10 06:00:00,9.3
38,2023-03-10 12:00:00,8.3
39,2023-03-10 18:00:00,2.2
40,2023-03-11 00:00:00,0.3
41,2023-03-11 06:00:00,-0.8
42,2023-03-11 12:00:00,5.9
43,2023-03-11 18:00:00,4.6
44,2023-03-12 00:00:00,4.5
45,2023-03-12 06:00:00,4.5
46,2023-03-12 12:00:00,4.5
47,2023-03-12 18:00:00,4.5
48,2023-03-13 00:00:00,4.5
49,2023-03-13 06:00:00,4.5
50,2023-03-13 12:00:00,15.7
51,2023-03-13 18:00:00,14.9
52,2023-03-14 00:00:00,10.7
53,2023-03-14 06:00:00,9.6
54,2023-03-14 12:00:00,4.8
55,2023-03-14 18:00:00,4.9
56,2023-03-15 00:00:00,3.7
57,2023-03-15 06:00:00,2.4
58,2023-03-15 12:00:00,7.5
59,2023-03-15 18:00:00,7.2
60,2023-03-16 00:00:00,6.2
61,2023-03-16 06:00:00,6.4
62,2023-03-16 12:00:00,12.8
63,2023-03-16 18:00:00,11.6
64,2023-03-17 00:00:00,11.2
65,2023-03-17 06:00:00,8.5
66,2023-03-17 12:00:00,17.3
67,2023-03-17 18:00:00,14.8
68,2023-03-18 00:00:00,12.4
69,2023-03-18 06:00:00,9.1
70,2023-03-18 12:00:00,14.8
71,2023-03-18 18:00:00,10.9
72,2023-03-19 00:00:00,10.3
73,2023-03-19 06:00:00,8.6
74,2023-03-19 12:00:00,11.4
75,2023-03-19 18:00:00,8.9
76,2023-03-20 00:00:00,5.4
77,2023-03-20 06:00:00,5.8
78,2023-03-20 12:00:00,10.3
79,2023-03-20 18:00:00,10.8
80,2023-03-21 00:00:00,9.7
81,2023-03-21 06:00:00,10.7
82,2023-03-21 12:00:00,13.5
83,2023-03-21 18:00:00,12.3
84,2023-03-22 00:00:00,10.8
96,2023-03-25 00:00:00,8.8
97,2023-03-25 06:00:00,8.0
98,2023-03-25 12:00:00,9.8
99,2023-03-25 18:00:00,11.0
100,2023-03-26 00:00:00,8.7
101,2023-03-26 06:00:00,8.0
102,2023-03-26 12:00:00,7.0
103,2023-03-26 18:00:00,7.4
104,2023-03-27 00:00:00,5.0
105,2023-03-27 06:00:00,3.8
106,2023-03-27 12:00:00,6.1
107,2023-03-27 18:00:00,5.5
108,2023-03-28 00:00:00,1.3
109,2023-03-28 06:00:00,0.5
110,2023-03-28 12:00:00,9.5
111,2023-03-28 18:00:00,5.5
112,2023-03-29 00:00:00,7.9
113,2023-03-29 06:00:00,8.7
114,2023-03-29 12:00:00,14.3
115,2023-03-29 18:00:00,14.9
116,2023-03-30 00:00:00,16.1
117,2023-03-30 06:00:00,12.4
118,2023-03-30 12:00:00,15.5
119,2023-03-30 18:00:00,12.9
120,2023-03-31 00:00:00,11.8
121,2023-03-31 06:00:00,10.4
122,2023-03-31 12:00:00,11.8
123,2023-03-31 18:00:00,9.8
124,2023-04-01 00:00:00,9.2
125,2023-04-01 06:00:00,8.6
126,2023-04-01 12:00:00,9.5
127,2023-04-01 18:00:00,8.5
128,2023-04-02 00:00:00,8.3
129,2023-04-02 06:00:00,5.8
130,2023-04-02 12:00:00,5.7
131,2023-04-02 18:00:00,5.8
132,2023-04-03 00:00:00,3.5
133,2023-04-03 06:00:00,1.8
134,2023-04-03 12:00:00,9.9
135,2023-04-03 18:00:00,8.4
136,2023-04-04 00:00:00,3.5
137,2023-04-04 06:00:00,1.5
138,2023-04-04 12:00:00,9.0
139,2023-04-04 18:00:00,8.8
140,2023-04-05 00:00:00,3.8
141,2023-04-05 06:00:00,0.2
142,2023-04-05 12:00:00,12.3
143,2023-04-05 18:00:00,10.0
144,2023-04-06 00:00:00,7.8
145,2023-04-06 06:00:00,7.4
146,2023-04-06 12:00:00,8.3
147,2023-04-06 18:00:00,9.6
148,2023-04-07 00:00:00,8.1
149,2023-04-07 06:00:00,7.3
150,2023-04-07 12:00:00,9.7
151,2023-04-07 18:00:00,8.7
152,2023-04-08 00:00:00,7.8
