,t2m,temp,time
0,279.8339544,280.84999999999997,2023-04-25 00:00:00
1,279.23404139999997,279.34999999999997,2023-04-25 06:00:00
2,282.60446260000003,282.34999999999997,2023-04-25 12:00:00
3,280.99136780000003,281.95,2023-04-25 18:00:00
4,275.0167186,277.75,2023-04-26 00:00:00
5,276.0199672,277.04999999999995,2023-04-26 06:00:00
6,282.6311424,284.54999999999995,2023-04-26 12:00:00
7,282.0011576,283.95,2023-04-26 18:00:00
8,277.4584814,279.25,2023-04-27 00:00:00
9,277.9100326,278.54999999999995,2023-04-27 06:00:00
10,286.2910436,286.75,2023-04-27 12:00:00
11,285.6632424,286.65,2023-04-27 18:00:00
12,283.4890636,283.04999999999995,2023-04-28 00:00:00
13,284.4494278,284.84999999999997,2023-04-28 06:00:00
14,288.48850699999997,288.15,2023-04-28 12:00:00
15,287.3033046,286.54999999999995,2023-04-28 18:00:00
16,282.9429942,284.04999999999995,2023-04-29 00:00:00
17,284.5703236,288.15,2023-05-02 12:00:00
18,282.9165628,286.54999999999995,2023-05-02 18:00:00
19,279.06119839999997,280.95,2023-05-03 00:00:00
20,278.1464798,278.84999999999997,2023-05-03 06:00:00
21,287.203101,288.75,2023-05-03 12:00:00
22,286.40398819999996,289.04999999999995,2023-05-03 18:00:00
23,281.201059,284.15,2023-05-04 00:00:00
24,281.8265356,282.65,2023-05-04 06:00:00
25,293.3937056,295.04999999999995,2023-05-04 12:00:00
26,292.6599358,295.15,2023-05-04 18:00:00
27,287.726234,288.84999999999997,2023-05-05 00:00:00
28,285.640756,287.04999999999995,2023-05-05 06:00:00
29,289.78152620000003,290.65,2023-05-05 12:00:00
30,288.6324818,290.25,2023-05-05 18:00:00
31,284.252351,285.95,2023-05-06 00:00:00
32,284.5781488,284.95,2023-05-06 06:00:00
33,290.7494742,292.45,2023-05-06 12:00:00
34,289.65760159999996,290.25,2023-05-06 18:00:00
35,286.0978872,289.04999999999995,2023-05-07 00:00:00
36,286.40002219999997,288.25,2023-05-07 06:00:00
37,285.5551376,287.65,2023-05-08 00:00:00
38,284.13958019999995,286.45,2023-05-08 06:00:00
39,290.5671926,290.15,2023-05-08 12:00:00
40,289.5685922,288.75,2023-05-08 18:00:00
41,287.560857,286.75,2023-05-09 12:00:00
42,286.759361,286.45,2023-05-09 18:00:00
43,284.126028,285.04999999999995,2023-05-10 00:00:00
44,283.7834524,284.65,2023-05-10 06:00:00
45,287.65625220000004,286.25,2023-05-10 12:00:00
46,286.7502692,287.15,2023-05-10 18:00:00
47,282.4083798,285.04999999999995,2023-05-11 00:00:00
48,282.55649980000004,284.25,2023-05-11 06:00:00
49,288.6273696,290.45,2023-05-11 12:00:00
50,286.6732402,286.25,2023-05-11 18:00:00
51,283.8308136,285.15,2023-05-12 00:00:00
52,283.7416558,284.04999999999995,2023-05-12 06:00:00
53,289.3818466,287.95,2023-05-12 12:00:00
54,289.064547,288.75,2023-05-12 18:00:00
55,285.3854366,286.45,2023-05-13 00:00:00
56,285.17693579999997,286.34999999999997,2023-05-13 06:00:00
57,293.2804658,294.95,2023-05-13 12:00:00
58,290.00284800000003,291.75,2023-05-13 18:00:00
59,284.2198318,284.84999999999997,2023-05-14 00:00:00
60,284.2679638,284.65,2023-05-14 06:00:00
61,292.0461742,290.75,2023-05-14 12:00:00
62,288.871328,288.34999999999997,2023-05-14 18:00:00
63,281.1879884,283.25,2023-05-15 00:00:00
64,281.8670796,281.84999999999997,2023-05-15 06:00:00
65,288.3040526,286.45,2023-05-15 12:00:00
66,284.0685924,283.54999999999995,2023-05-15 18:00:00
67,281.4012772,282.15,2023-05-16 00:00:00
68,281.454907,281.45,2023-05-16 06:00:00
69,286.2727114,287.25,2023-05-16 12:00:00
70,285.1289812,286.65,2023-05-16 18:00:00
71,279.32439439999996,282.15,2023-05-17 00:00:00
72,281.2493734,282.65,2023-05-17 06:00:00
73,287.4675972,289.75,2023-05-17 12:00:00
74,286.2863852,287.95,2023-05-17 18:00:00
75,279.537316,282.25,2023-05-18 00:00:00
76,279.6308368,279.75,2023-05-18 06:00:00
77,287.02489979999996,288.65,2023-05-18 12:00:00
78,286.4874526,288.25,2023-05-18 18:00:00
79,280.59508040000003,283.45,2023-05-19 00:00:00
80,281.317113,281.34999999999997,2023-05-19 06:00:00
81,289.0068748,292.15,2023-05-19 12:00:00
82,287.7955958,291.25,2023-05-19 18:00:00
83,283.701374,286.45,2023-05-20 00:00:00
84,284.308673,284.54999999999995,2023-05-20 06:00:00
85,289.19750799999997,291.65,2023-05-26 18:00:00
86,282.7890982,285.45,2023-05-27 00:00:00
87,282.0193378,282.54999999999995,2023-05-27 06:00:00
88,291.2699374,294.25,2023-05-27 12:00:00
89,291.407079,294.65,2023-05-27 18:00:00
90,285.4260746,288.54999999999995,2023-05-28 00:00:00
91,285.45832279999996,286.25,2023-05-28 06:00:00
92,295.4303418,297.65,2023-05-28 12:00:00
93,293.2590868,295.45,2023-05-28 18:00:00
94,286.12762299999997,287.34999999999997,2023-05-29 00:00:00
95,283.593121,283.95,2023-05-29 06:00:00
96,290.912021,292.84999999999997,2023-05-29 12:00:00
97,288.8826154,291.04999999999995,2023-05-29 18:00:00
